
पीएनजी मूल्य विवरण - वर्तमान पीएनजी दरें (विभाजन सहित)

क्षेत्र        | गैस की मूल लागत (रु) | एसएंडडी लागत (रु) | मार्जिन (रु) | वैट (रु) | कुल (रु)
------------- | ---------------------- | ------------------ | ------------ | -------- | --------
गुरुग्राम     | 26.72                 | 16.93              | 1.39         | 2.36     | 47.40
करनाल        | 30.5                  | 17.81              | -3.27        | 2.36     | 47.40
कैथल         | 30.5                  | 17.81              | -3.27        | 2.36     | 47.40
रेवाड़ी       | 26.72                 | 10.25              | 8.07         | 2.36     | 47.40
अजमेर        | 28.79                 | 122.39             | -106.39      | 4.48     | 49.27
पाली         | 28.79                 | 122.39             | -106.39      | 4.48     | 49.27
राजसमंद      | 28.79                 | 122.39             | -106.39      | 4.48     | 49.27
फतेहपुर       | 29.4                  | 54.23              | -33.68       | 0.00     | 49.95
गाज़ियाबाद    | 29.4                  | 12.89              | 6.17         | 0.00     | 48.46
ग्रेटर नोएडा  | 29.4                  | 12.89              | 6.17         | 0.00     | 48.46
हमीरपुर       | 29.4                  | 54.23              | -33.68       | 0.00     | 49.95
कानपुर        | 29.4                  | 54.23              | -33.68       | 0.00     | 49.95
मेरठ/शामली    | 29.4                  | 58.77              | -38.82       | 0.00     | 49.35
महोबा/बांदा   | 28.86                 | 54.23              | -33.14       | 0.00     | 49.95
मुज़फ्फरनगर   | 29.4                  | 58.77              | -38.82       | 0.00     | 49.35
नोएडा         | 29.4                  | 12.89              | 6.17         | 0.00     | 48.46
दिल्ली        | 26.72                 | 15.14              | 4.42         | 2.31     | 48.59
